map,v1,Olivier NIVOIX
40,25
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
D,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1
1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,L,L,L,L,0,L,1,1,0,0,0,0,0,1,1
1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,L,L,L,0,1,1,0,0,0,0,0,1,1
1,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,L,1,1,0,0,0,0,0,1,1
1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,L,1,1,1,0,1,0,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,L,0,0,0,1,1,1,0,L,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,L,1,0,0,0,0,0,0,L,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,L,1,0,E,1,1,1,1,1,0,0,0,0,0,0,0,1
1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,E,E,E,E,1,1,0,0,1,1,1,0,0,1
1,1,0,1,1,1,0,0,0,0,0,0,0,1,L,0,1,0,0,1,1,1,0,1,1,E,0,1,1,E,E,1,0,E,1,1,1,0,0,1
1,1,0,0,0,1,0,0,0,0,0,0,0,1,L,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1,E,E,E,E,1,1,1,0,0,1
1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,E,E,1,0,0,1,1,1,0,0,1
1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,E,E,1,1,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,E,1,1,0,0,0,0,0,0,0,0,1
1,0,0,E,0,E,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,E,1,1,0,1,1,1,1,0,1,1,1
1,0,0,0,E,E,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,E,E,0,0,0,1,1,1,0,1,1,1
1,1,1,1,1,E,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,E,0,E,E,0,0,1,1,1,0,1,1,1
1,1,1,1,1,E,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,L,1,1,1
1,0,0,0,0,E,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,L,L,0,0,0,0,0,0,0,0,0,0,0,L,0,L,1
1,0,0,E,E,0,E,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,L,L,L,0,0,0,0,0,0,0,0,0,0,L,0,1
1,0,0,0,0,E,0,E,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,L,L,0,L,0,0,0,0,0,1,0,1,0,1,1,1
1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,A,1,1,1
